# Time , Flux-Flux
5.2400e+03,4.5844e-15
5.2500e+03,4.5050e-15
5.2600e+03,4.4267e-15
5.2700e+03,4.3483e-15
5.2800e+03,4.2681e-15
5.2900e+03,4.1841e-15
5.3000e+03,4.0941e-15
5.3100e+03,3.9960e-15
5.3200e+03,3.8876e-15
5.3300e+03,3.7667e-15
5.3400e+03,3.6318e-15
5.3500e+03,3.4816e-15
5.3600e+03,3.3151e-15
5.3700e+03,3.1322e-15
5.3800e+03,2.9331e-15
5.3900e+03,2.7189e-15
5.4000e+03,2.4912e-15
5.4100e+03,2.2519e-15
5.4200e+03,2.0039e-15
5.4300e+03,1.7501e-15
5.4400e+03,1.4940e-15
5.4500e+03,1.2392e-15
5.4600e+03,9.8940e-16
5.4700e+03,7.4836e-16
5.4800e+03,5.1959e-16
5.4900e+03,3.0636e-16
5.5000e+03,1.1158e-16
5.5100e+03,-6.2335e-17
5.5200e+03,-2.1350e-16
5.5300e+03,-3.4063e-16
5.5400e+03,-4.4309e-16
5.5500e+03,-5.2088e-16
5.5600e+03,-5.7466e-16
5.5700e+03,-6.0570e-16
5.5800e+03,-6.1584e-16
5.5900e+03,-6.0747e-16
5.6000e+03,-5.8341e-16
5.6100e+03,-5.4686e-16
5.6200e+03,-5.0131e-16
5.6300e+03,-4.5048e-16
5.6400e+03,-3.9816e-16
5.6500e+03,-3.4821e-16
5.6600e+03,-3.0438e-16
5.6700e+03,-2.7030e-16
5.6800e+03,-2.4934e-16
5.6900e+03,-2.4455e-16
5.7000e+03,-2.5857e-16
5.7100e+03,-2.9359e-16
5.7200e+03,-3.5124e-16
5.7300e+03,-4.3257e-16
5.7400e+03,-5.3800e-16
5.7500e+03,-6.6727e-16
5.7600e+03,-8.1943e-16
5.7700e+03,-9.9284e-16
5.7800e+03,-1.1852e-15
5.7900e+03,-1.3935e-15
5.8000e+03,-1.6142e-15
5.8100e+03,-1.8432e-15
5.8200e+03,-2.0760e-15
5.8300e+03,-2.3078e-15
5.8400e+03,-2.5334e-15
5.8500e+03,-2.7477e-15
5.8600e+03,-2.9455e-15
5.8700e+03,-3.1222e-15
5.8800e+03,-3.2729e-15
5.8900e+03,-3.3938e-15
5.9000e+03,-3.4814e-15
5.9100e+03,-3.5330e-15
5.9200e+03,-3.5468e-15
5.9300e+03,-3.5218e-15
5.9400e+03,-3.4580e-15
5.9500e+03,-3.3566e-15
5.9600e+03,-3.2195e-15
5.9700e+03,-3.0499e-15
5.9800e+03,-2.8518e-15
5.9900e+03,-2.6299e-15
6.0000e+03,-2.3899e-15
6.0100e+03,-2.1378e-15
6.0200e+03,-1.8804e-15
6.0300e+03,-1.6246e-15
6.0400e+03,-1.3774e-15
6.0500e+03,-1.1456e-15
6.0600e+03,-9.3587e-16
6.0700e+03,-7.5436e-16
6.0800e+03,-6.0651e-16
6.0900e+03,-4.9696e-16
6.1000e+03,-4.2936e-16
6.1100e+03,-4.0629e-16
6.1200e+03,-4.2913e-16
6.1300e+03,-4.9804e-16
6.1400e+03,-6.1193e-16
6.1500e+03,-7.6850e-16
6.1600e+03,-9.6425e-16
6.1700e+03,-1.1946e-15
6.1800e+03,-1.4542e-15
6.1900e+03,-1.7365e-15
6.2000e+03,-2.0348e-15
6.2100e+03,-2.3416e-15
6.2200e+03,-2.6494e-15
6.2300e+03,-2.9505e-15
6.2400e+03,-3.2376e-15
6.2500e+03,-3.5036e-15
6.2600e+03,-3.7420e-15
6.2700e+03,-3.9471e-15
6.2800e+03,-4.1137e-15
6.2900e+03,-4.2380e-15
6.3000e+03,-4.3170e-15
6.3100e+03,-4.3488e-15
6.3200e+03,-4.3325e-15
6.3300e+03,-4.2684e-15
6.3400e+03,-4.1579e-15
6.3500e+03,-4.0031e-15
6.3600e+03,-3.8072e-15
6.3700e+03,-3.5743e-15
6.3800e+03,-3.3090e-15
6.3900e+03,-3.0165e-15
6.4000e+03,-2.7024e-15
6.4100e+03,-2.3728e-15
6.4200e+03,-2.0335e-15
6.4300e+03,-1.6909e-15
6.4400e+03,-1.3509e-15
6.4500e+03,-1.0193e-15
6.4600e+03,-7.0159e-16
6.4700e+03,-4.0290e-16
6.4800e+03,-1.2781e-16
6.4900e+03,1.1964e-16
6.5000e+03,3.3600e-16
6.5100e+03,5.1844e-16
6.5200e+03,6.6479e-16
6.5300e+03,7.7352e-16
6.5400e+03,8.4373e-16
6.5500e+03,8.7514e-16
6.5600e+03,8.6803e-16
6.5700e+03,8.2323e-16
6.5800e+03,7.4205e-16
6.5900e+03,6.2621e-16
6.6000e+03,4.7782e-16
6.6100e+03,2.9932e-16
6.6200e+03,9.3388e-17
6.6300e+03,-1.3707e-16
6.6400e+03,-3.8898e-16
6.6500e+03,-6.5916e-16
6.6600e+03,-9.4431e-16
6.6700e+03,-1.2411e-15
6.6800e+03,-1.5461e-15
6.6900e+03,-1.8560e-15
6.7000e+03,-2.1674e-15
6.7100e+03,-2.4770e-15
6.7200e+03,-2.7813e-15
6.7300e+03,-3.0772e-15
6.7400e+03,-3.3614e-15
6.7500e+03,-3.6309e-15
6.7600e+03,-3.8826e-15
6.7700e+03,-4.1136e-15
6.7800e+03,-4.3212e-15
6.7900e+03,-4.5027e-15
6.8000e+03,-4.6558e-15
6.8100e+03,-4.7783e-15
6.8200e+03,-4.8683e-15
6.8300e+03,-4.9240e-15
6.8400e+03,-4.9442e-15
6.8500e+03,-4.9278e-15
6.8600e+03,-4.8740e-15
6.8700e+03,-4.7825e-15
6.8800e+03,-4.6534e-15
6.8900e+03,-4.4868e-15
6.9000e+03,-4.2835e-15
6.9100e+03,-4.0447e-15
6.9200e+03,-3.7716e-15
6.9300e+03,-3.4659e-15
6.9400e+03,-3.1298e-15
6.9500e+03,-2.7654e-15
6.9600e+03,-2.3753e-15
6.9700e+03,-1.9622e-15
6.9800e+03,-1.5291e-15
6.9900e+03,-1.0790e-15
7.0000e+03,-6.1507e-16
7.0100e+03,-1.4061e-16
7.0200e+03,3.4115e-16
7.0300e+03,8.2695e-16
7.0400e+03,1.3136e-15
7.0500e+03,1.7980e-15
7.0600e+03,2.2770e-15
7.0700e+03,2.7480e-15
7.0800e+03,3.2081e-15
7.0900e+03,3.6549e-15
7.1000e+03,4.0862e-15
7.1100e+03,4.4999e-15
7.1200e+03,4.8943e-15
7.1300e+03,5.2678e-15
7.1400e+03,5.6191e-15
7.1500e+03,5.9472e-15
7.1600e+03,6.2514e-15
7.1700e+03,6.5309e-15
7.1800e+03,6.7854e-15
7.1900e+03,7.0147e-15
7.2000e+03,7.2187e-15
7.2100e+03,7.3975e-15
7.2200e+03,7.5511e-15
7.2300e+03,7.6799e-15
7.2400e+03,7.7840e-15
7.2500e+03,7.8637e-15
7.2600e+03,7.9194e-15
7.2700e+03,7.9512e-15
7.2800e+03,7.9594e-15
7.2900e+03,7.9442e-15
7.3000e+03,7.9058e-15
7.3100e+03,7.8444e-15
7.3200e+03,7.7599e-15
7.3300e+03,7.6527e-15
7.3400e+03,7.5227e-15
7.3500e+03,7.3701e-15
7.3600e+03,7.1951e-15
7.3700e+03,6.9979e-15
7.3800e+03,6.7787e-15
7.3900e+03,6.5381e-15
7.4000e+03,6.2763e-15
7.4100e+03,5.9941e-15
7.4200e+03,5.6922e-15
7.4300e+03,5.3714e-15
7.4400e+03,5.0329e-15
7.4500e+03,4.6776e-15
7.4600e+03,4.3071e-15
7.4700e+03,3.9226e-15
7.4800e+03,3.5259e-15
7.4900e+03,3.1187e-15
7.5000e+03,2.7027e-15
7.5100e+03,2.2800e-15
7.5200e+03,1.8525e-15
7.5300e+03,1.4223e-15
7.5400e+03,9.9146e-16
7.5500e+03,5.6216e-16
7.5600e+03,1.3649e-16
7.5700e+03,-2.8346e-16
7.5800e+03,-6.9564e-16
7.5900e+03,-1.0981e-15
7.6000e+03,-1.4888e-15
7.6100e+03,-1.8660e-15
7.6200e+03,-2.2279e-15
7.6300e+03,-2.5727e-15
7.6400e+03,-2.8990e-15
7.6500e+03,-3.2051e-15
7.6600e+03,-3.4897e-15
7.6700e+03,-3.7512e-15
7.6800e+03,-3.9884e-15
7.6900e+03,-4.2000e-15
7.7000e+03,-4.3847e-15
7.7100e+03,-4.5413e-15
7.7200e+03,-4.6687e-15
7.7300e+03,-4.7657e-15
7.7400e+03,-4.8312e-15
7.7500e+03,-4.8641e-15
7.7600e+03,-4.8633e-15
7.7700e+03,-4.8280e-15
7.7800e+03,-4.7572e-15
7.7900e+03,-4.6501e-15
7.8000e+03,-4.5061e-15
7.8100e+03,-4.3247e-15
7.8200e+03,-4.1054e-15
7.8300e+03,-3.8482e-15
7.8400e+03,-3.5533e-15
7.8500e+03,-3.2209e-15
7.8600e+03,-2.8519e-15
7.8700e+03,-2.4472e-15
7.8800e+03,-2.0082e-15
7.8900e+03,-1.5366e-15
7.9000e+03,-1.0347e-15
7.9100e+03,-5.0490e-16
7.9200e+03,4.9860e-17
7.9300e+03,6.2625e-16
7.9400e+03,1.2206e-15
7.9500e+03,1.8287e-15
7.9600e+03,2.4462e-15
7.9700e+03,3.0683e-15
7.9800e+03,3.6899e-15
7.9900e+03,4.3055e-15
8.0000e+03,4.9094e-15
